date,state,fips,cases,deaths
2020-04-12,C. Valenciana,1,838,838
2020-04-12,Extremadura,1,312,312
2020-04-12,Galicia,1,274,274
2020-04-12,Madrid,1,6278,6278
2020-04-12,Melilla,1,2,2
2020-04-12,Murcia,1,97,97
2020-04-12,Navarra,1,232,232
2020-04-12,País Vasco,1,804,804
2020-04-12,La Rioja,1,219,219
2020-04-11,Andalucía,1,737,737
2020-04-11,Aragón,1,425,425
2020-04-11,Asturias,1,128,128
2020-04-11,Baleares,1,102,102
2020-04-11,Canarias,1,95,95
2020-04-11,Cantabria,1,107,107
2020-04-11,Castilla-La Mancha,1,1483,1483
2020-04-11,Castilla y León,1,1180,1180
2020-04-11,Cataluña,1,3331,3331
2020-04-11,Ceuta,1,4,4
2020-04-11,C. Valenciana,1,818,818
2020-04-11,Extremadura,1,303,303
2020-04-11,Galicia,1,261,261
2020-04-11,Madrid,1,6084,6084
2020-04-11,Melilla,1,2,2
2020-04-11,Murcia,1,94,94
2020-04-11,Navarra,1,227,227
2020-04-11,País Vasco,1,765,765
2020-04-11,La Rioja,1,207,207
2020-04-10,Andalucía,1,691,691
2020-04-10,Aragón,1,409,409
2020-04-10,Asturias,1,121,121
2020-04-10,Baleares,1,97,97
2020-04-10,Canarias,1,94,94
2020-04-10,Cantabria,1,102,102
2020-04-10,Castilla-La Mancha,1,1431,1431
2020-04-10,Castilla y León,1,1129,1129
2020-04-10,Cataluña,1,3231,3231
2020-04-10,Ceuta,1,4,4
2020-04-10,C. Valenciana,1,796,796
2020-04-10,Extremadura,1,288,288
2020-04-10,Galicia,1,243,243
2020-04-10,Madrid,1,5972,5972
2020-04-10,Melilla,1,2,2
2020-04-10,Murcia,1,90,90
2020-04-10,Navarra,1,218,218
2020-04-10,País Vasco,1,729,729
2020-04-10,La Rioja,1,196,196
2020-04-09,Andalucía,1,652,652
2020-04-09,Aragón,1,385,385
2020-04-09,Asturias,1,110,110
2020-04-09,Baleares,1,89,89
2020-04-09,Canarias,1,92,92
2020-04-09,Cantabria,1,98,98
2020-04-09,Castilla-La Mancha,1,1322,1322
2020-04-09,Castilla y León,1,1082,1082
2020-04-09,Cataluña,1,3148,3148
2020-04-09,Ceuta,1,4,4
2020-04-09,C. Valenciana,1,767,767
2020-04-09,Extremadura,1,283,283
2020-04-09,Galicia,1,231,231
2020-04-09,Madrid,1,5800,5800
2020-04-09,Melilla,1,2,2
2020-04-09,Murcia,1,88,88
2020-04-09,Navarra,1,214,214
2020-04-09,País Vasco,1,689,689
2020-04-09,La Rioja,1,182,182
2020-04-08,Andalucía,1,605,605
2020-04-08,Aragón,1,349,349
2020-04-08,Asturias,1,102,102
2020-04-08,Baleares,1,89,89
2020-04-08,Canarias,1,91,91
2020-04-08,Cantabria,1,92,92
2020-04-08,Castilla-La Mancha,1,1255,1255
2020-04-08,Castilla y León,1,1028,1028
2020-04-08,Cataluña,1,3041,3041
2020-04-08,Ceuta,1,4,4
2020-04-08,C. Valenciana,1,724,724
2020-04-08,Extremadura,1,271,271
2020-04-08,Galicia,1,213,213
2020-04-08,Madrid,1,5586,5586
2020-04-08,Melilla,1,2,2
2020-04-08,Murcia,1,85,85
2020-04-08,Navarra,1,206,206
2020-04-08,País Vasco,1,635,635
2020-04-08,La Rioja,1,177,177
2020-04-07,Andalucía,1,528,528
2020-04-07,Aragón,1,312,312
2020-04-07,Asturias,1,96,96
2020-04-07,Baleares,1,84,84
2020-04-07,Canarias,1,89,89
2020-04-07,Cantabria,1,85,85
2020-04-07,Castilla-La Mancha,1,1177,1177
2020-04-07,Castilla y León,1,982,982
2020-04-07,Cataluña,1,2908,2908
2020-04-07,Ceuta,1,4,4
2020-04-07,C. Valenciana,1,672,672
2020-04-07,Extremadura,1,258,258
2020-04-07,Galicia,1,204,204
2020-04-07,Madrid,1,5371,5371
2020-04-07,Melilla,1,2,2
2020-04-07,Murcia,1,78,78
2020-04-07,Navarra,1,202,202
2020-04-07,País Vasco,1,586,586
2020-04-07,La Rioja,1,160,160
2020-04-06,Andalucía,1,491,491
2020-04-06,Aragón,1,284,284
2020-04-06,Asturias,1,86,86
2020-04-06,Baleares,1,81,81
2020-04-06,Canarias,1,85,85
2020-04-06,Cantabria,1,77,77
2020-04-06,Castilla-La Mancha,1,1132,1132
2020-04-06,Castilla y León,1,919,919
2020-04-06,Cataluña,1,2760,2760
2020-04-06,Ceuta,1,3,3
2020-04-06,C. Valenciana,1,637,637
2020-04-06,Extremadura,1,228,228
2020-04-06,Galicia,1,190,190
2020-04-06,Madrid,1,5136,5136
2020-04-06,Melilla,1,2,2
2020-04-06,Murcia,1,68,68
2020-04-06,Navarra,1,187,187
2020-04-06,País Vasco,1,548,548
2020-04-06,La Rioja,1,141,141
2020-04-05,Andalucía,1,470,470
2020-04-05,Aragón,1,270,270
2020-04-05,Asturias,1,80,80
2020-04-05,Baleares,1,75,75
2020-04-05,Canarias,1,80,80
2020-04-05,Cantabria,1,68,68
2020-04-05,Castilla-La Mancha,1,1055,1055
2020-04-05,Castilla y León,1,847,847
2020-04-05,Cataluña,1,2637,2637
2020-04-05,Ceuta,1,2,2
2020-04-05,C. Valenciana,1,613,613
2020-04-05,Extremadura,1,218,218
2020-04-05,Galicia,1,174,174
2020-04-05,Madrid,1,4941,4941
2020-04-05,Melilla,1,2,2
2020-04-05,Murcia,1,59,59
2020-04-05,Navarra,1,178,178
2020-04-05,País Vasco,1,515,515
2020-04-05,La Rioja,1,134,134
2020-04-04,Andalucía,1,426,426
2020-04-04,Aragón,1,251,251
2020-04-04,Asturias,1,76,76
2020-04-04,Baleares,1,71,71
2020-04-04,Canarias,1,78,78
2020-04-04,Cantabria,1,68,68
2020-04-04,Castilla-La Mancha,1,989,989
2020-04-04,Castilla y León,1,786,786
2020-04-04,Cataluña,1,2508,2508
2020-04-04,Ceuta,1,1,1
2020-04-04,C. Valenciana,1,571,571
2020-04-04,Extremadura,1,208,208
2020-04-04,Galicia,1,159,159
2020-04-04,Madrid,1,4723,4723
2020-04-04,Melilla,1,2,2
2020-04-04,Murcia,1,51,51
2020-04-04,Navarra,1,171,171
2020-04-04,País Vasco,1,477,477
2020-04-04,La Rioja,1,128,128
2020-04-03,Andalucía,1,376,376
2020-04-03,Aragón,1,224,224
2020-04-03,Asturias,1,70,70
2020-04-03,Baleares,1,69,69
2020-04-03,Canarias,1,73,73
2020-04-03,Cantabria,1,64,64
2020-04-03,Castilla-La Mancha,1,916,916
2020-04-03,Castilla y León,1,723,723
2020-04-03,Cataluña,1,2335,2335
2020-04-03,Ceuta,1,1,1
2020-04-03,C. Valenciana,1,511,511
2020-04-03,Extremadura,1,200,200
2020-04-03,Galicia,1,138,138
2020-04-03,Madrid,1,4483,4483
2020-04-03,Melilla,1,2,2
2020-04-03,Murcia,1,46,46
2020-04-03,Navarra,1,151,151
2020-04-03,País Vasco,1,444,444
2020-04-03,La Rioja,1,109,109
2020-04-02,Andalucía,1,343,343
2020-04-02,Aragón,1,200,200
2020-04-02,Asturias,1,69,69
2020-04-02,Baleares,1,58,58
2020-04-02,Canarias,1,68,68
2020-04-02,Cantabria,1,60,60
2020-04-02,Castilla-La Mancha,1,854,854
2020-04-02,Castilla y León,1,641,641
2020-04-02,Cataluña,1,2093,2093
2020-04-02,Ceuta,1,1,1
2020-04-02,C. Valenciana,1,443,443
2020-04-02,Extremadura,1,181,181
2020-04-02,Galicia,1,120,120
2020-04-02,Madrid,1,4175,4175
2020-04-02,Melilla,1,1,1
2020-04-02,Murcia,1,42,42
2020-04-02,Navarra,1,141,141
2020-04-02,País Vasco,1,412,412
2020-04-02,La Rioja,1,101,101
2020-04-01,Andalucía,1,308,308
2020-04-01,Aragón,1,169,169
2020-04-01,Asturias,1,63,63
2020-04-01,Baleares,1,46,46
2020-04-01,Canarias,1,62,62
2020-04-01,Cantabria,1,54,54
2020-04-01,Castilla-La Mancha,1,774,774
2020-04-01,Castilla y León,1,585,585
2020-04-01,Cataluña,1,1849,1849
2020-04-01,Ceuta,1,1,1
2020-04-01,C. Valenciana,1,395,395
2020-04-01,Extremadura,1,152,152
2020-04-01,Galicia,1,103,103
2020-04-01,Madrid,1,3865,3865
2020-04-01,Melilla,1,1,1
2020-04-01,Murcia,1,37,37
2020-04-01,Navarra,1,130,130
2020-04-01,País Vasco,1,369,369
2020-04-01,La Rioja,1,90,90
2020-03-31,Andalucía,1,248,248
2020-03-31,Aragón,1,138,138
2020-03-31,Asturias,1,55,55
2020-03-31,Baleares,1,42,42
2020-03-31,Canarias,1,55,55
2020-03-31,Cantabria,1,37,37
2020-03-31,Castilla-La Mancha,1,708,708
2020-03-31,Castilla y León,1,516,516
2020-03-31,Cataluña,1,1672,1672
2020-03-31,Ceuta,1,1,1
2020-03-31,C. Valenciana,1,339,339
2020-03-31,Extremadura,1,133,133
2020-03-31,Galicia,1,84,84
2020-03-31,Madrid,1,3603,3603
2020-03-31,Melilla,1,1,1
2020-03-31,Murcia,1,34,34
2020-03-31,Navarra,1,113,113
2020-03-31,País Vasco,1,325,325
2020-03-31,La Rioja,1,85,85
2020-03-30,Andalucía,1,236,236
2020-03-30,Aragón,1,106,106
2020-03-30,Asturias,1,49,49
2020-03-30,Baleares,1,37,37
2020-03-30,Canarias,1,40,40
2020-03-30,Cantabria,1,27,27
2020-03-30,Castilla-La Mancha,1,622,622
2020-03-30,Castilla y León,1,442,442
2020-03-30,Cataluña,1,1410,1410
2020-03-30,Ceuta,1,1,1
2020-03-30,C. Valenciana,1,310,310
2020-03-30,Extremadura,1,106,106
2020-03-30,Galicia,1,66,66
2020-03-30,Madrid,1,3392,3392
2020-03-30,Melilla,1,1,1
2020-03-30,Murcia,1,25,25
2020-03-30,Navarra,1,102,102
2020-03-30,País Vasco,1,297,297
2020-03-30,La Rioja,1,71,71
2020-03-29,Andalucía,1,207,207
2020-03-29,Aragón,1,93,93
2020-03-29,Asturias,1,41,41
2020-03-29,Baleares,1,29,29
2020-03-29,Canarias,1,39,39
2020-03-29,Cantabria,1,26,26
2020-03-29,Castilla-La Mancha,1,539,539
2020-03-29,Castilla y León,1,380,380
2020-03-29,Cataluña,1,1226,1226
2020-03-29,Ceuta,1,1,1
2020-03-29,C. Valenciana,1,267,267
2020-03-29,Extremadura,1,100,100
2020-03-29,Galicia,1,60,60
2020-03-29,Madrid,1,3082,3082
2020-03-29,Melilla,1,1,1
2020-03-29,Murcia,1,20,20
2020-03-29,Navarra,1,84,84
2020-03-29,País Vasco,1,265,265
2020-03-29,La Rioja,1,68,68
2020-03-28,Andalucía,1,175,175
2020-03-28,Aragón,1,58,58
2020-03-28,Asturias,1,33,33
2020-03-28,Baleares,1,26,26
2020-03-28,Canarias,1,36,36
2020-03-28,Cantabria,1,22,22
2020-03-28,Castilla-La Mancha,1,448,448
2020-03-28,Castilla y León,1,321,321
2020-03-28,Cataluña,1,1070,1070
2020-03-28,Ceuta,1,1,1
2020-03-28,C. Valenciana,1,234,234
2020-03-28,Extremadura,1,88,88
2020-03-28,Galicia,1,47,47
2020-03-28,Madrid,1,2757,2757
2020-03-28,Melilla,1,1,1
2020-03-28,Murcia,1,17,17
2020-03-28,Navarra,1,70,70
2020-03-28,País Vasco,1,221,221
2020-03-28,La Rioja,1,65,65
2020-03-27,Andalucía,1,144,144
2020-03-27,Aragón,1,58,58
2020-03-27,Asturias,1,29,29
2020-03-27,Baleares,1,22,22
2020-03-27,Canarias,1,27,27
2020-03-27,Cantabria,1,21,21
2020-03-27,Castilla-La Mancha,1,367,367
2020-03-27,Castilla y León,1,252,252
2020-03-27,Cataluña,1,880,880
2020-03-27,Ceuta,1,0,0
2020-03-27,C. Valenciana,1,198,198
2020-03-27,Extremadura,1,69,69
2020-03-27,Galicia,1,43,43
2020-03-27,Madrid,1,2412,2412
2020-03-27,Melilla,1,1,1
2020-03-27,Murcia,1,15,15
2020-03-27,Navarra,1,58,58
2020-03-27,País Vasco,1,207,207
2020-03-27,La Rioja,1,55,55
2020-03-26,Andalucía,1,134,134
2020-03-26,Aragón,1,48,48
2020-03-26,Asturias,1,27,27
2020-03-26,Baleares,1,17,17
2020-03-26,Canarias,1,24,24
2020-03-26,Cantabria,1,17,17
2020-03-26,Castilla-La Mancha,1,316,316
2020-03-26,Castilla y León,1,206,206
2020-03-26,Cataluña,1,672,672
2020-03-26,Ceuta,1,0,0
2020-03-26,C. Valenciana,1,167,167
2020-03-26,Extremadura,1,58,58
2020-03-26,Galicia,1,32,32
2020-03-26,Madrid,1,2090,2090
2020-03-26,Melilla,1,1,1
2020-03-26,Murcia,1,8,8
2020-03-26,Navarra,1,49,49
2020-03-26,País Vasco,1,180,180
2020-03-26,La Rioja,1,43,43
2020-03-25,Andalucía,1,113,113
2020-03-25,Aragón,1,40,40
2020-03-25,Asturias,1,25,25
2020-03-25,Baleares,1,13,13
2020-03-25,Canarias,1,21,21
2020-03-25,Cantabria,1,14,14
2020-03-25,Castilla-La Mancha,1,263,263
2020-03-25,Castilla y León,1,165,165
2020-03-25,Cataluña,1,516,516
2020-03-25,Ceuta,1,0,0
2020-03-25,C. Valenciana,1,143,143
2020-03-25,Extremadura,1,39,39
2020-03-25,Galicia,1,27,27
2020-03-25,Madrid,1,1825,1825
2020-03-25,Melilla,1,0,0
2020-03-25,Murcia,1,5,5
2020-03-25,Navarra,1,33,33
2020-03-25,País Vasco,1,155,155
2020-03-25,La Rioja,1,37,37
2020-03-24,Andalucía,1,87,87
2020-03-24,Aragón,1,37,37
2020-03-24,Asturias,1,22,22
2020-03-24,Baleares,1,10,10
2020-03-24,Canarias,1,16,16
2020-03-24,Cantabria,1,9,9
2020-03-24,Castilla-La Mancha,1,216,216
2020-03-24,Castilla y León,1,124,124
2020-03-24,Cataluña,1,282,282
2020-03-24,Ceuta,1,0,0
2020-03-24,C. Valenciana,1,115,115
2020-03-24,Extremadura,1,26,26
2020-03-24,Galicia,1,20,20
2020-03-24,Madrid,1,1535,1535
2020-03-24,Melilla,1,0,0
2020-03-24,Murcia,1,3,3
2020-03-24,Navarra,1,31,31
2020-03-24,País Vasco,1,133,133
2020-03-24,La Rioja,1,30,30
2020-03-23,Andalucía,1,58,58
2020-03-23,Aragón,1,32,32
2020-03-23,Asturias,1,12,12
2020-03-23,Baleares,1,10,10
2020-03-23,Canarias,1,11,11
2020-03-23,Cantabria,1,6,6
2020-03-23,Castilla-La Mancha,1,145,145
2020-03-23,Castilla y León,1,102,102
2020-03-23,Cataluña,1,245,245
2020-03-23,Ceuta,1,0,0
2020-03-23,C. Valenciana,1,94,94
2020-03-23,Extremadura,1,18,18
2020-03-23,Galicia,1,18,18
2020-03-23,Madrid,1,1263,1263
2020-03-23,Melilla,1,0,0
2020-03-23,Murcia,1,2,2
2020-03-23,Navarra,1,24,24
2020-03-23,País Vasco,1,120,120
2020-03-23,La Rioja,1,22,22
2020-03-22,Andalucía,1,47,47
2020-03-22,Aragón,1,24,24
2020-03-22,Asturias,1,8,8
2020-03-22,Baleares,1,4,4
2020-03-22,Canarias,1,9,9
2020-03-22,Cantabria,1,5,5
2020-03-22,Castilla-La Mancha,1,112,112
2020-03-22,Castilla y León,1,74,74
2020-03-22,Cataluña,1,191,191
2020-03-22,Ceuta,1,0,0
2020-03-22,C. Valenciana,1,69,69
2020-03-22,Extremadura,1,14,14
2020-03-22,Galicia,1,12,12
2020-03-22,Madrid,1,1021,1021
2020-03-22,Melilla,1,0,0
2020-03-22,Murcia,1,1,1
2020-03-22,Navarra,1,14,14
2020-03-22,País Vasco,1,97,97
2020-03-22,La Rioja,1,18,18
2020-03-21,Andalucía,1,40,40
2020-03-21,Aragón,1,22,22
2020-03-21,Asturias,1,5,5
2020-03-21,Baleares,1,4,4
2020-03-21,Canarias,1,7,7
2020-03-21,Cantabria,1,2,2
2020-03-21,Castilla-La Mancha,1,84,84
2020-03-21,Castilla y León,1,55,55
2020-03-21,Cataluña,1,122,122
2020-03-21,Ceuta,1,0,0
2020-03-21,C. Valenciana,1,50,50
2020-03-21,Extremadura,1,12,12
2020-03-21,Galicia,1,9,9
2020-03-21,Madrid,1,804,804
2020-03-21,Melilla,1,0,0
2020-03-21,Murcia,1,1,1
2020-03-21,Navarra,1,9,9
2020-03-21,País Vasco,1,85,85
2020-03-21,La Rioja,1,15,15
2020-03-20,Andalucía,1,30,30
2020-03-20,Aragón,1,17,17
2020-03-20,Asturias,1,2,2
2020-03-20,Baleares,1,2,2
2020-03-20,Canarias,1,4,4
2020-03-20,Cantabria,1,1,1
2020-03-20,Castilla-La Mancha,1,42,42
2020-03-20,Castilla y León,1,43,43
2020-03-20,Cataluña,1,82,82
2020-03-20,Ceuta,1,0,0
2020-03-20,C. Valenciana,1,33,33
2020-03-20,Extremadura,1,10,10
2020-03-20,Galicia,1,5,5
2020-03-20,Madrid,1,628,628
2020-03-20,Melilla,1,0,0
2020-03-20,Murcia,1,0,0
2020-03-20,Navarra,1,5,5
2020-03-20,País Vasco,1,71,71
2020-03-20,La Rioja,1,7,7
2020-03-19,Andalucía,1,23,23
2020-03-19,Aragón,1,15,15
2020-03-19,Asturias,1,1,1
2020-03-19,Baleares,1,2,2
2020-03-19,Canarias,1,3,3
2020-03-19,Cantabria,1,1,1
2020-03-19,Castilla-La Mancha,1,42,42
2020-03-19,Castilla y León,1,29,29
2020-03-19,Cataluña,1,55,55
2020-03-19,Ceuta,1,0,0
2020-03-19,C. Valenciana,1,24,24
2020-03-19,Extremadura,1,8,8
2020-03-19,Galicia,1,4,4
2020-03-19,Madrid,1,498,498
2020-03-19,Melilla,1,0,0
2020-03-19,Murcia,1,0,0
2020-03-19,Navarra,1,4,4
2020-03-19,País Vasco,1,53,53
2020-03-19,La Rioja,1,5,5
2020-03-18,Andalucía,1,19,19
2020-03-18,Aragón,1,13,13
2020-03-18,Asturias,1,1,1
2020-03-18,Baleares,1,1,1
2020-03-18,Canarias,1,3,3
2020-03-18,Cantabria,1,1,1
2020-03-18,Castilla-La Mancha,1,28,28
2020-03-18,Castilla y León,1,22,22
2020-03-18,Cataluña,1,41,41
2020-03-18,Ceuta,1,0,0
2020-03-18,C. Valenciana,1,22,22
2020-03-18,Extremadura,1,6,6
2020-03-18,Galicia,1,3,3
2020-03-18,Madrid,1,390,390
2020-03-18,Melilla,1,0,0
2020-03-18,Murcia,1,0,0
2020-03-18,Navarra,1,3,3
2020-03-18,País Vasco,1,40,40
2020-03-18,La Rioja,1,5,5
2020-03-17,Andalucía,1,11,11
2020-03-17,Aragón,1,12,12
2020-03-17,Asturias,1,1,1
2020-03-17,Baleares,1,1,1
2020-03-17,Canarias,1,2,2
2020-03-17,Cantabria,1,0,0
2020-03-17,Castilla-La Mancha,1,17,17
2020-03-17,Castilla y León,1,12,12
2020-03-17,Cataluña,1,18,18
2020-03-17,Ceuta,1,0,0
2020-03-17,C. Valenciana,1,13,13
2020-03-17,Extremadura,1,3,3
2020-03-17,Galicia,1,3,3
2020-03-17,Madrid,1,355,355
2020-03-17,Melilla,1,0,0
2020-03-17,Murcia,1,0,0
2020-03-17,Navarra,1,2,2
2020-03-17,País Vasco,1,36,36
2020-03-17,La Rioja,1,5,5
2020-03-16,Andalucía,1,7,7
2020-03-16,Aragón,1,11,11
2020-03-16,Asturias,1,1,1
2020-03-16,Baleares,1,1,1
2020-03-16,Canarias,1,1,1
2020-03-16,Cantabria,1,0,0
2020-03-16,Castilla-La Mancha,1,17,17
2020-03-16,Castilla y León,1,9,9
2020-03-16,Cataluña,1,12,12
2020-03-16,Ceuta,1,0,0
2020-03-16,C. Valenciana,1,5,5
2020-03-16,Extremadura,1,2,2
2020-03-16,Galicia,1,2,2
2020-03-16,Madrid,1,213,213
2020-03-16,Melilla,1,0,0
2020-03-16,Murcia,1,0,0
2020-03-16,Navarra,1,1,1
2020-03-16,País Vasco,1,23,23
2020-03-16,La Rioja,1,4,4
2020-03-15,Andalucía,1,6,6
2020-03-15,Aragón,1,7,7
2020-03-15,Asturias,1,1,1
2020-03-15,Baleares,1,1,1
2020-03-15,Canarias,1,1,1
2020-03-15,Cantabria,1,0,0
2020-03-15,Castilla-La Mancha,1,10,10
2020-03-15,Castilla y León,1,6,6
2020-03-15,Cataluña,1,8,8
2020-03-15,Ceuta,1,0,0
2020-03-15,C. Valenciana,1,5,5
2020-03-15,Extremadura,1,2,2
2020-03-15,Galicia,1,2,2
2020-03-15,Madrid,1,213,213
2020-03-15,Melilla,1,0,0
2020-03-15,Murcia,1,0,0
2020-03-15,Navarra,1,0,0
2020-03-15,País Vasco,1,23,23
2020-03-15,La Rioja,1,3,3
2020-03-14,Andalucía,1,2,2
2020-03-14,Aragón,1,7,7
2020-03-14,Asturias,1,1,1
2020-03-14,Baleares,1,1,1
2020-03-14,Canarias,1,1,1
2020-03-14,Cantabria,1,0,0
2020-03-14,Castilla-La Mancha,1,6,6
2020-03-14,Castilla y León,1,3,3
2020-03-14,Cataluña,1,6,6
2020-03-14,Ceuta,1,0,0
2020-03-14,C. Valenciana,1,4,4
2020-03-14,Extremadura,1,2,2
2020-03-14,Galicia,1,0,0
2020-03-14,Madrid,1,86,86
2020-03-14,Melilla,1,0,0
2020-03-14,Murcia,1,0,0
2020-03-14,Navarra,1,0,0
2020-03-14,País Vasco,1,14,14
2020-03-14,La Rioja,1,3,3
2020-03-13,Andalucía,1,0,0
2020-03-13,Aragón,1,7,7
2020-03-13,Asturias,1,1,1
2020-03-13,Baleares,1,1,1
2020-03-13,Canarias,1,0,0
2020-03-13,Cantabria,1,0,0
2020-03-13,Castilla-La Mancha,1,5,5
2020-03-13,Castilla y León,1,1,1
2020-03-13,Cataluña,1,4,4
2020-03-13,Ceuta,1,0,0
2020-03-13,C. Valenciana,1,1,1
2020-03-13,Extremadura,1,1,1
2020-03-13,Galicia,1,0,0
2020-03-13,Madrid,1,81,81
2020-03-13,Melilla,1,0,0
2020-03-13,Murcia,1,0,0
2020-03-13,Navarra,1,0,0
2020-03-13,País Vasco,1,14,14
2020-03-13,La Rioja,1,2,2
2020-03-12,Andalucía,1,0,0
2020-03-12,Aragón,1,6,6
2020-03-12,Asturias,1,1,1
2020-03-12,Baleares,1,1,1
2020-03-12,Canarias,1,0,0
2020-03-12,Cantabria,1,0,0
